kp_id,kp_url,kp_full_name,name,vote_date,vote
981105,https://www.kinopoisk.ru/film/981105/,Бабушка лёгкого поведения (2017), ,08.12.2018,4
970196,https://www.kinopoisk.ru/film/970196/,Поиск (2018),Searching,23.11.2018,7
842037,https://www.kinopoisk.ru/film/842037/,Я худею (2018), ,18.11.2018,4
582358,https://www.kinopoisk.ru/series/582358/,"13 причин почему (сериал, 2017 – 2020)",13 Reasons Why,28.10.2018,8
893681,https://www.kinopoisk.ru/film/893681/,Черновик (2018), ,21.10.2018,2
979148,https://www.kinopoisk.ru/film/979148/,Назови меня своим именем (2017),Call Me by Your Name,20.10.2018,5
518040,https://www.kinopoisk.ru/film/518040/,Диктатор (2012),The Dictator,12.10.2018,2
958293,https://www.kinopoisk.ru/film/958293/,Леди Бёрд (2017),Lady Bird,01.10.2018,10
992605,https://www.kinopoisk.ru/film/992605/,Аритмия (2017), ,16.09.2018,5
909700,https://www.kinopoisk.ru/film/909700/,Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017), ,01.09.2018,9
961715,https://www.kinopoisk.ru/film/961715/,Дэдпул 2 (2018),Deadpool 2,26.08.2018,9
950968,https://www.kinopoisk.ru/film/950968/,Монстры на каникулах 3: Море зовёт (2018),Hotel Transylvania 3: Summer Vacation,26.07.2018,5
705356,https://www.kinopoisk.ru/film/705356/,Левиафан (2014), ,15.07.2018,8
714564,https://www.kinopoisk.ru/film/714564/,Взрывная блондинка (2017),Atomic Blonde,22.06.2018,3
470173,https://www.kinopoisk.ru/film/470173/,Величайший шоумен (2017),The Greatest Showman,18.06.2018,3
538225,https://www.kinopoisk.ru/film/538225/,Первому игроку приготовиться (2018),Ready Player One,11.06.2018,10
797840,https://www.kinopoisk.ru/film/797840/,Фантастические твари и где они обитают (2016),Fantastic Beasts and Where to Find Them,01.06.2018,8
424994,https://www.kinopoisk.ru/film/424994/,Лига справедливости (2017),Justice League,30.04.2018,9
1006132,https://www.kinopoisk.ru/film/1006132/,Piter By (2016), ,24.03.2018,8
1111871,https://www.kinopoisk.ru/film/1111871/,Piter by Каста (2017), ,23.03.2018,6
925669,https://www.kinopoisk.ru/film/925669/,Идеальные незнакомцы (2015),Perfetti sconosciuti,13.03.2018,10
977743,https://www.kinopoisk.ru/film/977743/,Форма воды (2017),The Shape of Water,10.03.2018,8
453397,https://www.kinopoisk.ru/film/453397/,Оно (2017),It,08.03.2018,6
900052,https://www.kinopoisk.ru/film/900052/,Лёд (2017), ,24.02.2018,2
884376,https://www.kinopoisk.ru/film/884376/,Манчестер у моря (2016),Manchester by the Sea,23.02.2018,8
42736,https://www.kinopoisk.ru/film/42736/,Офицеры (1971), ,23.02.2018,9
1008385,https://www.kinopoisk.ru/film/1008385/,Тоня против всех (2017),"I, Tonya",18.02.2018,10
835877,https://www.kinopoisk.ru/film/835877/,Телохранитель киллера (2017),The Hitman's Bodyguard,10.02.2018,4
840817,https://www.kinopoisk.ru/film/840817/,Движение вверх (2017), ,03.02.2018,10
906654,https://www.kinopoisk.ru/film/906654/,Kingsman: Золотое кольцо (2017),Kingsman: The Golden Circle,21.01.2018,10
930534,https://www.kinopoisk.ru/film/930534/,Сплит (2017),Split,13.01.2018,10
902939,https://www.kinopoisk.ru/film/902939/,Малыш на драйве (2017),Baby Driver,10.01.2018,10
